Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0013,0.043,0.4,0.04,0.085,0.332,0.59,33.07692307692307,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0014,0.043,0.375,0.039,0.085,0.334,0.594,30.71428571428571,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0015,0.043,0.4,0.04,0.085,0.33,0.59,28.666666666666664,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.035,0.85,10.3,1.05,0.75,4.06,18.4,24.28571428571428,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0001,0.016,0.175,0.004,0.1,0.334,0.194,160.0,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0001,0.016,0.175,0.003,0.1,0.344,0.193,160.0,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0001,0.016,0.175,0.003,0.083,0.342,0.197,160.0,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0025,0.1,0.875,0.1,0.19,1.01,1.38,40.0,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.002,0.086,0.75,0.08,0.17,0.895,1.115,42.99999999999999,
Salt lake brine,salar de Aguas Caliente Sur Sur,25°02`S / 68°37`W,0.0085,0.098,3.05,0.27,0.375,2.16,3.93,11.529411764705882,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.006,0.5,6.5,0.325,0.775,1.084,11.58,83.33333333333333,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0055,0.475,5.8,0.305,0.775,0.894,10.74,86.36363636363636,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0045,0.25,5.0,0.285,0.625,1.042,8.94,55.55555555555556,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.016,1.175,13.6,0.925,2.125,2.85,28.45,73.4375,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0155,1.15,15.0,0.9,1.9,2.685,27.5,74.19354838709677,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0175,1.275,13.8,1.025,2.375,3.1,29.3,72.85714285714285,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0575,1.975,33.4,1.725,2.525,2.55,62.0,34.34782608695652,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.062,2.175,33.8,1.825,2.625,2.82,67.4,35.08064516129032,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.04,1.525,20.5,1.275,1.3,1.65,40.4,38.125,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0305,2.3,33.8,1.675,5.7,0.59,76.8,75.40983606557377,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0183,2.275,20.1,1.208,4.945,0.78,47.6,124.31693989071036,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0175,2.025,16.6,1.135,4.635,,39.3,115.7142857142857,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0349,1.75,30.8,1.803,5.018,3.7,61.3,50.1432664756447,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0351,1.8,32.0,1.828,5.018,3.73,62.2,51.282051282051285,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.035,1.775,31.7,1.81,5.018,3.72,63.4,50.71428571428571,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0451,3.05,52.8,2.8,5.018,2.9,104.0,67.62749445676275,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0444,3.275,53.4,2.825,5.015,2.82,102.4,73.76126126126125,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0407999999999999,2.4,41.2,2.315,5.018,3.38,82.4,58.82352941176471,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0078,0.375,6.1,0.353,1.54,0.725,13.9,48.07692307692308,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.00775,0.375,6.3,0.345,1.542,0.705,13.35,48.38709677419355,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0092,0.475,7.5,0.405,2.065,0.865,17.1,51.630434782608695,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.00905,0.45,7.6,0.41,1.915,1.055,16.4,49.72375690607735,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0098,0.5,7.8,0.43,1.98,1.155,17.45,51.0204081632653,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.0095,0.475,7.8,0.405,1.9,1.085,17.0,50.0,
Salt lake brine,Salar de Pajonales,25°08`S / 68°48`W,0.036,5.2,50.8,2.2,9.5,2.06,118.8,144.44444444444446,
Salt lake brine,Salar de Gorbea,25°24`S / 68°40`W,0.475,39.5,66.0,5.0,0.163,107.367,162.806,83.15789473684211,
Salt lake brine,Salar de Gorbea,25°24`S / 68°40`W,0.5,38.5,64.0,4.6,0.165,102.355,156.595,77.0,
Salt lake brine,Salar de Gorbea,25°24`S / 68°40`W,0.3,27.5,52.0,5.0,0.41,74.825,124.711,91.66666666666669,
Salt lake brine,Salar de Gorbea,25°24`S / 68°40`W,0.3,28.0,52.0,5.0,0.275,74.29,123.753,93.33333333333334,
Salt lake brine,Salar de Gorbea,25°24`S / 68°40`W,0.005,0.55,1.3,0.025,0.425,3.107,2.486,110.0,
Salt lake brine,salar de Agua Amarga,25°32`S / 68°50`W,0.0139,0.325,3.6,0.185,2.363,1.308,10.54,23.381294964028772,
Salt lake brine,salar de Agua Amarga,25°32`S / 68°50`W,0.0136999999999999,0.3,3.7,0.198,2.448,1.15,10.65,21.897810218978105,
Salt lake brine,salar de Agua Amarga,25°32`S / 68°50`W,0.058,3.525,51.2,1.98,23.0,1.12,136.0,60.77586206896552,
Salt lake brine,salar de Agua Amarga,25°32`S / 68°50`W,0.0605,4.225,59.4,2.035,25.0,1.2,150.0,69.83471074380165,
Salt lake brine,salar de Agua Amarga,25°32`S / 68°50`W,0.056,3.0,47.6,1.683,23.0,1.12,124.4,53.57142857142857,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.013,0.078,2.0,0.042,0.15,0.666,3.167,6.0,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.0975,0.45,13.0,0.88,0.35,2.118,22.661,4.615384615384615,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.0225,0.125,3.0,0.075,0.165,0.857,4.839,5.555555555555555,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.03,0.183,5.2,0.275,0.475,1.201,8.65,6.1000000000000005,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.035,0.25,6.2,0.375,0.375,1.273,9.928,7.142857142857142,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.0725,0.425,9.6,0.75,0.425,1.624,16.2,5.862068965517242,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.85,5.3,120.0,8.6,0.525,14.292,189.388,6.235294117647059,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.8,5.0,130.0,8.0,0.5,13.687,196.701,6.25,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.8,4.9,126.0,8.0,0.475,13.362,180.054,6.125,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.875,5.4,122.0,8.6,0.525,14.864,191.338,6.171428571428572,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,1.15,8.3,110.0,108.0,0.525,17.884,189.057,7.217391304347827,
Salt lake brine,Salar de La Isla,25°44`S / 68°38`W,0.175,0.925,21.0,1.575,0.195,2.346,35.351,5.285714285714287,
Salt lake brine,salar de Aguilar,25°47` S / 68°53` W,0.375,6.8,60.0,2.6,55.0,1.382,212.126,18.133333333333333,
Salt lake brine,salar de Aguilar,25°47` S / 68°53` W,0.375,6.9,60.0,2.6,55.0,,206.75,18.4,
Salt lake brine,salar de Aguilar,25°47` S / 68°53` W,0.35,6.1,62.0,2.6,45.0,,191.125,17.428571428571427,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.01,0.095,4.1,0.054,0.105,0.498,6.058,9.5,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.007,0.065,2.6,0.041,0.1,0.341,4.431,9.285714285714286,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.008,0.075,3.3,0.044,0.113,0.368,4.786,9.375,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.007,0.073,2.9,0.045,0.13,0.48,4.672,10.428571428571429,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.35,3.2,100.0,5.2,0.725,12.796,170.111,9.142857142857144,
Salt lake brine,Salar de Parinas,25°49`S / 68°30`W,0.4,3.6,105.0,6.0,0.625,12.522,167.584,9.0,
Salt lake brine,Chott Djerid brine water,Tunisia,0.0599,3.4,80.0,5.6,1.6,6.7,144.1,56.76126878130216,241.4599
Salt lake brine,Urmia Salt Lake,Iran,0.0135,6.6,88.0,1.1,1.21,14.2,153.0,488.88888888888886,285.0
Salt lake brine,Urmia Salt Lake,Iran,0.015,5.7,108.0,0.93,1.06,11.8,158.0,380.0,330.0
Salt lake brine,Urmia Salt Lake,Iran,0.014,6.6,88.0,1.11,1.22,14.0,153.0,471.4285714285714,283.0
Salt lake brine,Urmia Salt Lake,Iran,0.013,6.6,88.0,1.09,1.21,14.1,152.0,507.6923076923077,281.0
Salt lake brine,Urmia Salt Lake,Iran,0.013,6.7,88.0,1.1,1.2,14.1,152.0,515.3846153846155,284.0
Salt lake brine,Urmia Salt Lake,Iran,0.013,6.6,87.0,1.1,1.22,14.4,153.0,507.6923076923077,287.0
Salt lake brine,Urmia Salt Lake,Iran,0.014,6.8,91.0,1.11,1.23,14.6,163.0,485.71428571428567,293.0
Salt lake brine,Urmia Salt Lake,Iran,0.014,6.7,90.0,1.11,1.24,14.6,152.0,478.57142857142856,280.0
Salt lake brine,Urmia Salt Lake,Iran,0.014,6.7,91.0,1.12,1.2,14.3,153.0,478.57142857142856,290.0
Salt lake brine,Urmia Salt Lake,Iran,0.013,6.5,87.0,1.08,1.2,13.9,153.0,500.0,285.0
Salt lake brine,Urmia Salt Lake,Iran,0.014,6.5,87.0,1.07,1.2,14.1,153.0,464.2857142857143,288.0
Salt lake brine,Urmia Salt Lake,Iran,0.013,6.4,87.0,1.08,1.0,14.0,152.0,492.3076923076924,283.0
Salt lake brine,Urmia Salt Lake,Iran,0.0135,6.6,88.0,1.1,1.21,14.2,153.0,488.88888888888886,285.0
Salt lake brine,Coipasa,Bolivia,0.35,13.6,75.1,11.0,0.156,24.6,151.0,38.85714285714286,277.3
Salt lake brine,Coipasa-1,Bolivia,0.58,23.0,56.0,20.0,0.17,,163.0,34.48275862068966,
Salt lake brine,Coipasa-2,Bolivia,0.21,8.5,79.0,7.7,0.26,,162.0,36.66666666666667,
Salt lake brine,Coipasa-3,Bolivia,0.24,9.3,78.0,8.5,0.25,,169.0,35.41666666666667,
Salt lake brine,Coipasa-4,Bolivia,0.541,10.857,,9.75,9.253,,,18.02218114602588,
Salt lake brine,Coipasa-5,Bolivia,0.487,10.525,,9.225,9.278,,,18.942505133470224,
Salt lake brine,Coipasa-6,Bolivia,0.327,10.372,,8.375,8.156,,,25.611620795107036,
Salt lake brine,Coipasa-7,Bolivia,0.332,10.224,,8.275,8.932,,,24.924698795180724,
Salt lake brine,Salar de Uyuni,Bolivia,0.3,6.5,87.2,7.2,0.5,8.5,157.1,21.666666666666668,267.8
Salt lake brine,"Salar de Uyuni, near Río Grande outlet,", Bolivia,0.542,12.8,97.3,11.8,0.468,16.9,191.0,23.616236162361623,331.266
Salt lake brine,Salar de Uyuni,Bolivia,0.321,6.5,70.6,11.7,0.306,,50.0,20.24922118380062,
Salt lake brine,Salar de Uyuni,Bolivia,0.84,16.7,105.4,15.7,3.33,21.3,203.7,19.88095238095238,
Salt lake brine,Salar de Uyuni,Bolivia,0.76,17.4,95.01,16.9,0.34,22.6,187.5,22.89473684210526,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.104,1.91,97.7,1.95,0.329,3.27,158.0,18.365384615384617,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.134,3.08,94.4,3.34,0.489,5.08,157.0,22.98507462686567,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.215,5.3,90.3,5.83,0.468,7.72,157.0,24.65116279069768,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.303,5.33,91.1,10.0,0.512,7.0,157.0,17.59075907590759,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.512,11.5,77.4,11.6,0.341,15.0,157.0,22.4609375,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.441,7.31,85.5,7.48,0.517,7.42,158.0,16.575963718820862,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.139,2.56,96.1,2.79,0.647,4.93,157.0,18.41726618705036,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.193,3.48,94.4,3.62,0.585,5.91,157.0,18.031088082901555,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.354,7.38,87.0,7.76,0.451,9.15,156.0,20.847457627118644,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.351,6.25,88.7,6.66,0.484,8.52,157.0,17.806267806267808,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.817,13.8,71.7,14.8,0.183,19.1,155.0,16.89106487148103,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.577,9.72,78.2,11.1,0.38,10.1,158.0,16.845753899480073,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.343,6.41,85.8,7.21,0.558,8.42,158.0,18.68804664723032,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.246,4.62,89.7,0.00473,0.609,5.43,157.0,18.78048780487805,
Salt lake brine,Salar de Uyuni Central Traverse,Bolivia,0.511,8.75,80.5,0.00886,0.393,10.7,157.0,17.123287671232877,
Salt lake brine,SE crustal margins,Bolivia,0.469,9.53,82.3,10.9,0.366,13.4,157.0,20.319829424307034,
Salt lake brine,SE crustal margins,Bolivia,2.06,41.3,28.5,27.4,0.08,46.5,160.0,20.048543689320383,
Salt lake brine,SE crustal margins,Bolivia,0.021,5.48,57.5,3.76,1.55,5.85,103.0,260.95238095238096,
Salt lake brine,SE crustal margins,Bolivia,0.232,0.502,18.1,1.45,0.679,0.959,30.6,2.163793103448276,
Salt lake brine,SE crustal margins,Bolivia,1.51,36.2,40.6,24.1,0.0,32.6,161.0,23.973509933774835,
Salt lake brine,SE crustal margins,Bolivia,0.49,12.3,80.4,10.6,0.133,18.1,155.0,25.10204081632653,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.0031,0.045,0.515,0.027,0.161,0.3,0.875,14.516129032258064,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.01,0.197,1.55,0.08,0.429,0.6,3.38,19.7,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.026,0.554,6.53,0.294,1.18,2.36,12.3,21.30769230769231,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.217,4.27,36.4,2.93,1.78,4.68,72.6,19.677419354838708,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.142,3.24,18.7,1.71,0.807,5.43,38.2,22.816901408450708,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.503,7.57,54.0,5.38,2.34,3.15,113.0,15.049701789264414,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.548,8.19,56.5,6.34,1.44,4.95,117.0,14.945255474452551,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.579,9.83,59.5,6.79,1.07,6.57,126.0,16.977547495682213,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.459,8.66,82.4,8.57,0.418,10.5,157.0,18.86710239651416,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.445,8.42,80.6,8.68,0.467,9.18,157.0,18.921348314606742,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.611,11.3,68.4,10.4,0.382,13.0,143.0,18.49427168576105,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.521,9.35,78.8,9.05,0.321,13.0,1560.0,17.946257197696735,
Salt lake brine,Rio Grande de Lipez Delta,Bolivia,0.353,6.88,83.0,6.94,0.491,8.43,157.0,19.490084985835693,
Salt lake brine,Salar de Coipasa,Bolivia,0.524,21.8,59.6,18.3,0.067,33.3,150.0,41.6030534351145,
Salt lake brine,Salar de Coipasa,Bolivia,0.251,8.99,83.5,7.14,0.193,20.1,151.0,35.81673306772908,
Salt lake brine,Salar de Coipasa,Bolivia,0.276,9.91,82.1,7.42,0.207,20.5,152.0,35.905797101449274,
Salt lake brine,Canapa,Bolivia,0.00129778,0.01801371,0.1449,0.0204102,0.015,0.124878,0.2704835,13.880403458213255,
Salt lake brine,Canapa,Bolivia,0.00099936,0.01640925,0.10603,0.0161092,0.0108,0.0902963999999999,0.2017105,16.419758645533143,
Salt lake brine,Canapa,Bolivia,4.8580000000000006e-05,0.0035978799999999,0.012512,0.0028152,0.00224,0.0360225,0.0037577,74.0609304240428,
Salt lake brine,Canapa,Bolivia,6.94e-05,0.00296582,0.001656,0.0041837,0.00268,0.0547541999999999,0.00159525,42.73515850144092,
Salt lake brine,Canapa,Bolivia,6.94e-05,0.0004861999999999,0.0049219999999999,0.0017986,0.00038,0.01066266,0.0008508,7.005763688760806,
Salt lake brine,Canapa,Bolivia,2.776e-05,0.00080223,0.0042089999999999,0.0039882,0.00068,0.02055684,0.0029778,28.89877521613833,
Salt lake brine,Canapa,Bolivia,0.379618,1.050192,56.58,6.3342,0.143,34.19736,74.7995,2.766444162289459,
Salt lake brine,Hedionda,Bolivia,0.00047886,0.00880022,0.06992,0.008993,0.00449,0.07905738,0.0790535,18.37743808211168,
Salt lake brine,Hedionda,Bolivia,0.0149904,0.1140139,1.8699,0.200192,0.0748,0.4553244,3.7577,7.605794375066709,
Salt lake brine,Hedionda,Bolivia,0.0004233399999999,0.0086057399999999,0.0805,0.0100096,0.00448,0.07704012,0.104932,20.328199555912505,
Salt lake brine,Hedionda,Bolivia,0.70094,6.61232,77.28,8.7584,0.0965,35.5422,119.112,9.43350358090564,
Salt lake brine,Chiar Kota,Bolivia,0.00049274,0.0074145499999999,0.0499099999999999,0.0064124,0.00424,0.07502286,0.0528205,15.047591021634126,
Salt lake brine,Chiar Kota,Bolivia,0.0092996,0.0748747999999999,1.2512,0.130203,0.0348,0.7502286,1.88594,8.051400060217642,
Salt lake brine,Chiar Kota,Bolivia,0.00410154,0.0299013,0.4991,0.060214,0.0278999999999999,0.1066266,0.967785,7.290261706578504,
Salt lake brine,Chiar Kota,Bolivia,0.70788,4.6189,79.12,8.4456,0.282,10.85478,141.8,6.524975984630164,
Salt lake brine,Honda,Bolivia,0.00085362,0.01541254,0.14168,0.0213877,0.013,0.07502286,0.254531,18.05550479135915,
Salt lake brine,Honda,Bolivia,0.00033312,0.0074145499999999,0.07038,0.0100096,0.00748,0.03659886,0.109895,22.25789505283381,
Salt lake brine,Honda,Bolivia,0.0742579999999999,0.175032,10.005,1.5796400000000002,0.202,4.505214,16.48425,2.357079371919524,
Salt lake brine,Pujio,Bolivia,0.00058296,0.0086057399999999,0.1899799999999999,0.0143888,0.0137,0.1037448,0.2357425,14.762144915603129,
Salt lake brine,Pujio,Bolivia,0.0005066199999999,0.0061990499999999,0.1499599999999999,0.0139195999999999,0.0069799999999999,0.05302512,0.20561,12.236094113931546,
Salt lake brine,Pujio,Bolivia,0.060031,0.4497349999999999,19.78,1.59919,0.155,11.5272,26.055750000000003,7.491712615148837,
Salt lake brine,Balivian,Bolivia,0.0004511,0.01130415,0.14904,0.0234208999999999,0.0163,0.1642625999999999,0.2995525,25.059077809798268,
Salt lake brine,Balivian,Bolivia,0.0777279999999999,1.599598,38.065,4.1446000000000005,0.312,10.18236,61.328500000000005,20.579430835734872,
Salt lake brine,Ramaditas,Bolivia,0.00034006,0.0279564999999999,0.1306399999999999,0.0222088,0.0736,0.6205476,0.259494,82.21049226607067,
Salt lake brine,Ramaditas,Bolivia,0.00022902,0.0050078599999999,0.14099,0.0148189,0.0175,0.1565778,0.197811,21.86647454370797,
Salt lake brine,Ramaditas,Bolivia,0.00063848,0.00306306,0.4002,0.055131,0.00748,0.2334258,0.47503,4.797425134694899,
Salt lake brine,Ramaditas,Bolivia,9.716000000000002e-06,0.0024796199999999,0.004669,0.0028152,0.00177,0.01998048,0.0038286,255.20996294771504,
Salt lake brine,Ramaditas,Bolivia,0.0279682,0.760903,19.78,2.06057,0.476,4.380336000000001,31.37325,27.20600539183787,
Salt lake brine,Turquiri,Bolivia,3.47e-05,0.0019204899999999,0.0115,0.0034017,0.0017199999999999,0.0139286999999999,0.0074445,55.34553314121036,
Salt lake brine,Turquiri,Bolivia,0.00027066,0.1076446799999999,0.0777399999999999,0.022678,0.00526,0.0653208,0.0542385,397.71181556195967,
Salt lake brine,Chulluncani,Bolivia,6.9400000000000005e-06,0.00160446,0.010005,0.0028152,0.0004399999999999,0.01325628,0.00450215,231.19020172910663,
Salt lake brine,Chulluncani,Bolivia,0.0224856,1.901042,30.13,12.7857,0.182,26.60862,43.958,84.5448642686875,
Salt lake brine,Pastos Grandes,Bolivia,2.776e-06,0.00140998,0.00345,0.0026197,0.00099,0.0097981199999999,0.00287145,507.9178674351584,
Salt lake brine,Pastos Grandes,Bolivia,9.716e-05,0.00279565,0.016284,0.00254932,0.0017,0.0085493399999999,0.01038685,28.77367229312474,
Salt lake brine,Pastos Grandes,Bolivia,0.0011798,0.0074145499999999,0.0851,0.0125902,0.00312,0.00499512,0.1499535,6.284582132564839,
Salt lake brine,Pastos Grandes,Bolivia,0.0005066199999999,0.02020161,0.0782,0.0165002,0.0127,0.1047054,0.090043,39.87527140657692,
Salt lake brine,Pastos Grandes,Bolivia,0.0110346,0.01339481,0.9292,0.125902,0.0116999999999999,0.1267992,1.5278950000000002,1.2138917586500644,
Salt lake brine,Pastos Grandes,Bolivia,0.00434444,0.0087516,0.322,0.0389045,0.00491,0.0710844,0.54593,2.0144368434136504,
Salt lake brine,Pastos Grandes,Bolivia,0.00113122,0.00357357,0.09752,0.0100096,0.00207,0.02526378,0.1428635,3.159040681741836,
Salt lake brine,Pastos Grandes,Bolivia,0.0005204999999999,0.00160446,0.0466899999999999,0.004301,0.00082,0.0072044999999999,0.0592015,3.082536023054756,
Salt lake brine,Pastos Grandes,Bolivia,1.6378400000000002,3.47633,103.04,14.1933,0.773,2.4591360000000004,193.557,2.122508914179651,
Salt lake brine,Cachi Laguna,Bolivia,0.00019432,0.0059802599999999,0.0374899999999999,0.0075854,0.00536,0.03496584,0.01329375,30.77531906134211,
Salt lake brine,Cachi Laguna,Bolivia,0.0004511,0.01300585,0.04761,0.0170085,0.00499,0.06503262,0.048921,28.831412103746395,
Salt lake brine,Cachi Laguna,Bolivia,0.00029842,0.00269841,0.03841,0.0104006,0.00157,0.0115272,0.0036868,9.04232290060988,
Salt lake brine,Cachi Laguna,Bolivia,0.8466800000000001,0.0029172,92.0,35.581,0.0015,35.83038,57.07450000000001,0.0034454575518495,
Salt lake brine,Kara,Bolivia,0.00018738,0.01298154,0.0600299999999999,0.017986,0.00324,0.0140247599999999,0.00747995,69.27921869996798,
Salt lake brine,Kara,Bolivia,0.0360186,0.0666094,3.082,0.279956,0.0008999999999999,0.2084502,4.1122000000000005,1.849305636532236,
Salt lake brine,Capina,Bolivia,9.716e-05,0.00196911,0.0042089999999999,0.0029716,0.0011,0.0052833,0.0019852,20.266673528200904,
Salt lake brine,Capina,Bolivia,0.00019432,0.00649077,0.03703,0.0104006,0.0045899999999999,0.0206529,0.02655205,33.40248044462742,
Salt lake brine,Capina,Bolivia,0.192932,0.260117,8.51,1.45843,0.2,0.0,17.26415,1.3482315012543278,
Salt lake brine,Colorada,Bolivia,0.0002776,0.0037194299999999,0.07245,0.0105961,0.00173,0.03294858,0.077281,13.39852305475504,
Salt lake brine,Colorada,Bolivia,0.00154762,0.00481338,0.3542,0.0315146,0.00259,0.1738686,0.471485,3.110182086041793,
Salt lake brine,Colorada,Bolivia,2.082e-05,0.00454597,0.0135699999999999,0.0047310999999999,0.00307,0.02574408,0.0131165,218.34630163304516,
Salt lake brine,Colorada,Bolivia,4.8580000000000006e-05,0.00459459,0.010994,0.0012512,0.00146,0.01930806,0.00301325,94.57780979827088,
Salt lake brine,Colorada,Bolivia,0.00031924,0.00897039,0.0759,0.0134113,0.00683,0.06349566,0.074445,28.09920436035584,
Salt lake brine,Colorada,Bolivia,0.0013533,0.0255255,0.3197,0.0374187,0.0101,0.201726,0.43249,18.86167146974063,
Salt lake brine,Colorada,Bolivia,4.8580000000000006e-05,0.01961817,0.03059,0.0105179,0.00731,0.0585966,0.00244605,403.83223548785503,
Salt lake brine,Colorada,Bolivia,0.00120062,0.01339481,0.2920999999999999,0.0360893,0.0045899999999999,0.139287,0.36868,11.15657743499192,
Salt lake brine,Colorada,Bolivia,0.00120062,0.00814385,0.2805999999999999,0.0267053,0.00282,0.1325627999999999,0.3828600000000001,6.7830370974996255,
Salt lake brine,Colorada,Bolivia,0.00145046,0.0158015,0.3565,0.0321011,0.00636,0.2151744,0.443125,10.894130138025178,
Salt lake brine,Colorada,Bolivia,0.00070094,0.0043758,0.17365,0.0157964,0.00179,0.105666,0.2073825,6.242759722658144,
Salt lake brine,Colorada,Bolivia,0.181828,0.914056,40.71,4.261900000000001,0.0648,6.445625999999999,64.8735,5.027036540026839,
Salt lake brine,Lagunillas,Bolivia,3.47e-06,0.00233376,0.007774,0.0019941,0.00175,0.01306416,0.0026942,672.5533141210374,
Salt lake brine,Lagunillas,Bolivia,6.9400000000000005e-06,0.00262548,0.04784,0.0333132,0.0093999999999999,0.1565778,0.02165995,378.3112391930835,
Salt lake brine,Challviri,Bolivia,6.94e-05,0.0029415099999999,0.011316,0.002737,0.00148,0.0196923,0.0082244,42.38487031700287,
Salt lake brine,Challviri,Bolivia,0.00344224,0.0098941699999999,0.2668,0.047311,0.0104,0.1239174,0.4254,2.8743405456911777,
Salt lake brine,Challviri,Bolivia,0.0002429,0.00734162,0.06141,0.0067642999999999,0.00519,0.1085478,0.0251695,30.22486620008233,
Salt lake brine,Challviri,Bolivia,4.8580000000000006e-05,0.0022122099999999,0.05911,0.0045356,0.00666,0.1652232,0.004254,45.53746397694523,
Salt lake brine,Challviri,Bolivia,4.858000000000001e-06,0.00128843,0.006348,0.0038709,0.00107,0.01431294,0.002127,265.2181967888019,
Salt lake brine,Challviri,Bolivia,0.0684978,0.2455309999999999,7.199,0.380052,0.109,2.391894,11.6985,3.584509283509835,
Salt lake brine,Honda Sur,Bolivia,0.00015962,0.00158015,0.03059,0.0016031,0.0057099999999999,0.0422664,0.0358045,9.89944869064027,
Salt lake brine,Honda Sur,Bolivia,0.199872,0.0012155,49.68,2.60015,0.00095,23.24652,50.339000000000006,0.0060813920909381,
Salt lake brine,Puripica,Bolivia,0.00022208,0.00230945,0.02576,0.014076,0.00249,0.04072944,0.01825675,10.399180475504323,
Salt lake brine,Puripica,Bolivia,0.00279682,0.00782782,0.23,0.042228,0.0070599999999999,0.1037448,0.36868,2.798828669703449,
Salt lake brine,Puripica,Bolivia,0.108958,0.274703,9.545,1.7204000000000002,0.116,4.65891,15.2435,2.5211824739807995,
