Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Oil field brine,Qianjiang Formation 46,"Jianghan Basin, China",0.097,0.14,117.09,1.72,0.91,2.46,182.0,1.4432989690721651,305.0
Oil field brine,Qianjiang Formation 47,"Jianghan Basin, China",0.049,0.07,119.46,5.5,0.43,6.14,185.49,1.4285714285714286,314.7
Oil field brine,Qianjiang Formation 48,"Jianghan Basin, China",0.0421,0.05684,101.3648,1.91614,0.44722,6.551339999999999,157.246,1.350118764845606,268.67637527672
Oil field brine,Qianjiang Formation 49,"Jianghan Basin, China",0.0475,0.35,120.47,2.129,1.24,5.29,186.76,7.368421052631579,315.8
Oil field brine,Qianjiang Formation 50,"Jianghan Basin, China",0.11875,0.24,85.8,1.44,1.24,4.62,132.91,2.0210526315789474,226.3
Oil field brine,Qianjiang Formation 51,"Jianghan Basin, China",0.02428,0.0775199999999999,48.802,0.71296,0.6591200000000002,0.8407800000000001,75.5048,3.192751235584843,127.1574281956
Oil field brine,Qianjiang Formation 52,"Jianghan Basin, China",0.15,0.09,124.08,2.622,0.66,4.3,191.74,0.6,323.5
Oil field brine,Qianjiang Formation 53,"Jianghan Basin, China",0.05944,0.04586,126.9208,1.7068,0.33224,9.000420000000002,196.0048,0.7715343203230147,335.6441511448
Oil field brine,Qianjiang Formation 54,"Jianghan Basin, China",0.03666,0.02688,114.378,1.24792,0.21912,12.73746,176.6176,0.7332242225859248,306.47353619408
Oil field brine,Qianjiang Formation 55,"Jianghan Basin, China",0.04722,0.02382,121.4548,1.02022,0.1980199999999999,13.4154,187.1184,0.5044472681067343,324.16522052312
Oil field brine,Qianjiang Formation 56,"Jianghan Basin, China",0.0421,0.11536,96.6172,1.20352,0.77116,8.617079999999998,148.846,2.740142517814727,257.32045265352
Oil field brine,Qianjiang Formation 57,"Jianghan Basin, China",0.02904,0.0192199999999999,116.1996,0.8523999999999999,0.0955,18.9816,178.9496,0.6618457300275481,315.86566072024
Oil field brine,Qianjiang Formation 58,"Jianghan Basin, China",0.04102,0.02684,119.4476,1.41842,0.18684,15.955199999999998,183.6488,0.6543149683081424,321.75987153904003
Oil field brine,Qianjiang Formation 59,"Jianghan Basin, China",0.02704,0.04706,109.0376,0.6093999999999999,0.02786,18.72,167.504,1.7403846153846154,296.37442727824
Oil field brine,Qianjiang Formation 60,"Jianghan Basin, China",0.10625,0.13,84.62,1.1783,0.7,4.34,129.87,1.223529411764706,220.7
Oil field brine,Qianjiang Formation 61,"Jianghan Basin, China",0.081,0.26,94.56,0.58,0.69,4.16,145.0,3.2098765432098766,245.8
Oil field brine,Qianjiang Formation 62,"Jianghan Basin, China",0.0575,0.23,121.02,1.933,0.72,6.31,185.11,4.0,315.6
Oil field brine,Qianjiang Formation 63,"Jianghan Basin, China",0.0545,0.06,125.13,1.933,0.29,6.84,190.05,1.1009174311926606,324.3
Oil field brine,Qianjiang Formation 64,"Jianghan Basin, China",0.02872,0.08664,103.1732,0.9073,0.2252799999999999,19.492800000000003,156.6032,3.0167130919220053,281.07387455647995
Oil field brine,Qianjiang Formation 65,"Jianghan Basin, China",0.02712,0.10632,87.50919999999999,1.39384,0.7741200000000001,5.04138,132.74079999999998,3.9203539823008846,228.10203213039995
Oil field brine,Qianjiang Formation 66,"Jianghan Basin, China",0.02282,0.0669599999999999,129.0452,0.7014600000000001,0.114,20.8836,195.5404,2.934268185801928,346.96893435936
Oil field brine,Qianjiang Formation 67,"Jianghan Basin, China",0.05,0.1,63.36,0.482,0.19,3.37,95.98,2.0,163.8
Oil field brine,Qianjiang Formation 68,"Jianghan Basin, China",0.02553,0.06,126.06,3.7,0.29,10.08,190.46,2.3501762632197414,330.1
